id,NAME,host id,host_identity_verified,host name,neighbourhood group,neighbourhood,lat,long,country,country code,instant_bookable,cancellation_policy,room type,Construction year,price,service fee,minimum nights,number of reviews,last review,reviews per month,review rate number,calculated host listings count,availability 365,license
47577900,"Nice, Sunny and by Yankee Stadium",94272355628,unconfirmed,Veronica,Manhattan,Harlem,40.82044,-73.93605,United States,US,TRUE,moderate,Private room,2012,$825 ,$165 ,1,0,,,2,1,166,
35235099,Beautiful Newly furnished 1BR~ In Unit Laundry,48725583867,unconfirmed,Nathan,Manhattan,Hell's Kitchen,40.76143,-73.99409,United States,US,FALSE,moderate,Entire home/apt,2014,$413 ,$83 ,30,3,11/30/2021,0.29,5,37,278,
22057221,家庭式單間雙人床K,65285125043,verified,Fiona,Queens,Flushing,40.76339,-73.82831,United States,US,TRUE,strict,Private room,2022,"$1,087 ",$217 ,1,7,05/11/19,0.95,4,5,85,
41409261,MY HOUSE ON NEW YORK!! CLOSE TO JFK AND LGA,34233791270,verified,Charlie,Queens,Woodhaven,40.69907,-73.85161,United States,US,TRUE,flexible,Shared room,2009,$367 ,$73 ,1,45,06/08/19,2.66,5,3,348,
34831368,Beautiful Brooklyn Apartment in Prospect Heights!,79915334234,verified,Carla,Brooklyn,Prospect Heights,40.68117,-73.96996,United States,US,FALSE,moderate,Entire home/apt,2018,$962 ,$192 ,3,203,12/13/2021,3.54,3,1,21,
55938617,Entire suite with breathtaking views of NYC,19831880024,verified,Simi,Manhattan,Theater District,40.75866,-73.98535,United States,US,TRUE,strict,Entire home/apt,2015,"$1,040 ",$208 ,1,24,6/19/2019,3.51,4,3,269,
23341871,Brooklyn sweet dreams,51091508531,verified,Misael,Brooklyn,Bushwick,40.70138,-73.91556,United States,US,TRUE,moderate,Entire home/apt,2009,"$1,083 ",$217 ,2,8,6/18/2019,1.43,4,1,342,
49915786,Bedroom in Beautiful Fort Greene Home,60865934282,verified,Mallary,Brooklyn,Fort Greene,40.69218,-73.97138,United States,US,TRUE,flexible,Private room,2017,$107 ,$21 ,4,48,5/22/2019,1.38,1,3,0,
24196831,"Private, Sunny Bedroom in Washington Heights",58002770053,unconfirmed,Christopher,Manhattan,Washington Heights,40.85117,-73.94065,United States,US,TRUE,flexible,Private room,2013,$682 ,$136 ,1,22,07/06/19,5.41,5,1,24,
44876600,#4 Triple Private  room  20 minutes from Manhattan,28631994757,unconfirmed,Tsotne (Tut),Bronx,Mott Haven,40.81234,-73.91688,United States,US,FALSE,moderate,Private room,2021,$361 ,$72 ,5,54,5/19/2019,2.05,5,4,314,
22724952,Luxury in Brooklyn,31818638076,unconfirmed,Franklyn,Brooklyn,Bushwick,40.68225,-73.90721,United States,US,TRUE,flexible,Entire home/apt,2005,$725 ,$145 ,1,28,07/02/19,4.22,3,1,30,
21024420,Studio w/ great location in the heart of Brooklyn!,21536807360,verified,Dylan,Brooklyn,Downtown Brooklyn,40.69632,-73.98454,United States,US,FALSE,moderate,Entire home/apt,2022,$977 ,$195 ,2,2,03/11/19,0.32,5,1,0,
49427000,"Quiet bedroom in a bright loft, Heart of Manhattan",60733991500,verified,Pl,Manhattan,Midtown,40.74205,-73.98382,United States,US,FALSE,moderate,Private room,2015,$231 ,$46 ,2,0,,,3,1,0,
22560919,Huge Renovated Studio in Manhattan,24664802397,unconfirmed,Aliona,Manhattan,Upper West Side,40.78549,-73.97535,United States,US,FALSE,flexible,Entire home/apt,2012,$334 ,$67 ,5,1,12/31/2018,0.16,3,1,0,
37005221,"Private, Cozy Room on Thompson St. Near the Park",29949991533,verified,John,Manhattan,Greenwich Village,40.72718,-73.99977,United States,US,FALSE,moderate,Private room,2016,$380 ,$76 ,2,184,6/29/2021,1.7,2,1,0,
32744779,Private &Secluded Carriage House in Prime Location,17510175962,unconfirmed,Tom,Manhattan,East Village,40.72973,-73.9883,United States,US,FALSE,strict,Entire home/apt,2004,$872 ,$174 ,2,78,01/11/22,2.59,3,1,125,
42765710,Sunny apartment on L train in Bushwick/Ridgewood,57748553031,unconfirmed,Nick,Queens,Ridgewood,40.69945,-73.90771,United States,US,TRUE,moderate,Private room,2010,$755 ,$151 ,3,4,06/02/19,1.88,2,1,68,
49501561,Luxury studio apartment with fantastic view,50211975695,unconfirmed,Kenneth,Manhattan,Financial District,40.70657,-74.00549,United States,US,FALSE,flexible,Entire home/apt,2012,$244 ,$49 ,2,1,7/23/2016,0.03,3,1,0,
29934124,Private Brooklyn Retreat,71455758630,verified,Nicci,Brooklyn,East New York,40.67276,-73.87862,United States,US,TRUE,strict,Entire home/apt,2020,$367 ,$73 ,1,13,2/21/2022,2.65,2,1,247,
21998677,Private Boutique One Bedroom,8313825416,verified,Lina,Manhattan,Upper East Side,40.77717,-73.95404,United States,US,TRUE,moderate,Entire home/apt,2010,$450 ,$90 ,2,28,07/02/19,3.85,5,1,64,
56473243,"Sunny, Spacious House by the Beach",66260373094,unconfirmed,Anna,Queens,Arverne,40.59153,-73.79166,United States,US,TRUE,strict,Entire home/apt,2021,"$1,031 ",$206 ,1,46,6/16/2019,1.65,2,4,152,
38152900,Relaxing Ocean Front Beach Home in Arverne!,58960474256,unconfirmed,Sita,Queens,Arverne,40.589,-73.80015,United States,US,TRUE,strict,Entire home/apt,2017,"$1,175 ",$235 ,30,20,06/04/20,0.29,2,1,332,
54596528,Central Park Spacious Room,53827475601,unconfirmed,Hongzhi,Manhattan,Upper West Side,40.79908,-73.96215,United States,US,TRUE,flexible,Private room,2017,$763 ,$153 ,1,14,8/23/2018,1.19,5,4,0,
13262396,Nurturing room in a 3 bedroom apt.,72770052275,unconfirmed,Calia,Brooklyn,Crown Heights,40.67689,-73.95079,United States,US,TRUE,strict,Private room,2017,"$1,168 ",$234 ,3,3,4/19/2017,0.11,1,1,0,
43487014,Charming 2BR--20 min to Manhattan,42870673622,unconfirmed,Dorion,Brooklyn,Bushwick,40.68442,-73.9083,United States,US,TRUE,moderate,Entire home/apt,2014,$453 ,$91 ,3,126,07/03/19,3.93,2,1,46,
42847450,Cozy Studio in Midtown,81890205069,verified,Shruti,Manhattan,Murray Hill,40.74993,-73.977,United States,US,FALSE,flexible,Entire home/apt,2008,$654 ,$131 ,2,32,6/19/2019,0.91,3,1,0,
19253194,"Designer DUMBO Loft, 2BR",19554245257,unconfirmed,Corey,Brooklyn,Vinegar Hill,40.70139,-73.98351,United States,US,FALSE,flexible,Entire home/apt,2011,$573 ,$115 ,4,5,12/29/2018,0.49,5,1,0,
3254720,close to Manhattan country setting,14636255317,unconfirmed,Aaron,Staten Island,Concord,40.60375,-74.08065,United States,US,FALSE,strict,Private room,2020,$507 ,$101 ,1,40,10/14/2018,0.85,4,2,352,
13133710,Private Bedroom with Amazing Rooftop View,61118549059,verified,Trey,Brooklyn,Bushwick,40.69872,-73.92718,United States,US,TRUE,strict,Private room,2012,$909 ,$182 ,1,19,8/31/2017,0.72,3,2,0,
1791125,INSANE NYC views! Live in the sky!,38109721873,verified,Dee,Manhattan,Hell's Kitchen,40.76206,-73.9998,United States,US,FALSE,strict,Entire home/apt,2018,$984 ,$197 ,30,11,03/08/13,0.13,2,2,278,
22373689,Smart Tribeca Studio w/ Great views + Indoor pool by Blueground,92518992971,unconfirmed,Blueground,Manhattan,Tribeca,40.71674,-74.0069,United States,US,FALSE,moderate,Entire home/apt,2022,$669 ,$134 ,30,0,,,2,232,208,
39438655,Charming Sunny W. Village Apt.,45830246143,unconfirmed,Sharon,Manhattan,West Village,40.73485,-74.00637,United States,US,TRUE,strict,Entire home/apt,2010,$881 ,$176 ,5,4,07/08/18,0.05,5,1,87,
20720655,Queens house bedroom 4,70939046330,unconfirmed,Desmond,Queens,Springfield Gardens,40.66556,-73.75735,United States,US,TRUE,moderate,Private room,2016,$781 ,$156 ,1,2,12/15/2018,0.22,3,4,179,
46663843,Unique and spacious 1BR in Greenpoint Brooklyn,97335527225,verified,James,Brooklyn,Greenpoint,40.72037,-73.94624,United States,US,FALSE,flexible,Entire home/apt,2008,"$1,043 ",$209 ,2,3,11/05/17,0.13,4,1,178,
52602173,"Bright spacious 1BD w/ CAT, Minutes from Manhattan",19319732724,verified,Rich,Brooklyn,Williamsburg,40.71849,-73.95053,United States,US,FALSE,flexible,Entire home/apt,2013,$818 ,$164 ,4,2,6/16/2018,0.15,5,1,0,
10481013,Eclectic Charm in the East Village,56028748116,verified,Rick,Manhattan,East Village,40.72552,-73.97879,United States,US,TRUE,strict,Entire home/apt,2012,$542 ,$108 ,2,13,11/27/2018,0.35,5,1,0,
25135741,Azur Queen Bedroom UES (Shared),51913340944,verified,David,Manhattan,Upper East Side,40.77019,-73.95449,United States,US,TRUE,moderate,Shared room,2008,$756 ,$151 ,30,0,,,4,3,331,
9624948,Spacious Loft in Williamsburg,49091137573,verified,Christopher,Brooklyn,Williamsburg,40.71468,-73.95841,United States,US,TRUE,flexible,Private room,2015,$924 ,$185 ,2,2,5/21/2018,0.14,2,1,78,
19928657,Upper West Side Getaway In the City Center,19198035361,verified,Eddy,Manhattan,Morningside Heights,40.80279,-73.96325,United States,US,FALSE,flexible,Private room,2017,$543 ,$109 ,2,58,07/07/19,5.67,4,1,110,
24222790,Beautiful Luxury 4BR/2BA Williamsburg Apartment,69946768184,verified,Roman,Brooklyn,Williamsburg,40.70678,-73.95478,United States,US,FALSE,moderate,Entire home/apt,2012,$593 ,$119 ,1,8,6/30/2019,2.18,2,1,134,
28968703,Amazing &Artsy PRIME location!Entire unit.,26201278989,unconfirmed,AJbnb,Brooklyn,Crown Heights,40.67451,-73.95676,United States,US,TRUE,flexible,Entire home/apt,2019,"$1,019 ",$204 ,1,15,2/28/2022,5.84,2,1,119,
32806636,Private Furnished Studio Apartment,2543403458,verified,Jessica,Manhattan,Upper East Side,40.77334,-73.94943,United States,US,FALSE,flexible,Entire home/apt,2015,$220 ,$44 ,30,36,01/09/22,0.37,2,1,208,
23641770,Amazing Private Room w/ Bunk Bed - Nearby Subway,70785241351,unconfirmed,Gui,Brooklyn,Bedford-Stuyvesant,40.68439,-73.93753,United States,US,TRUE,moderate,Private room,2018,$93 ,$19 ,2,17,6/28/2019,3.31,4,3,146,
22421739,"Sweet Midtown East 1BR, Water views, Gym, Doorman by Blueground",70960954666,verified,Blueground,Manhattan,Murray Hill,40.74478,-73.9727,United States,US,FALSE,strict,Entire home/apt,2018,$703 ,$141 ,30,0,,,5,232,235,
27751434,"Lovely 2 bedroom on Prospect Park, near subway",29522356848,verified,Shadi,Brooklyn,Prospect-Lefferts Gardens,40.66148,-73.96248,United States,US,TRUE,strict,Entire home/apt,2006,"$1,121 ",$224 ,3,0,,,3,1,165,
9310137,NYC  modern 1 bedroom apt. near Carnegie Hall!,87855151925,unconfirmed,Kara,Manhattan,Midtown,40.76537,-73.98332,United States,US,FALSE,strict,Entire home/apt,2013,$470 ,$94 ,30,0,,,3,121,246,
55593982,Colorful and central Gramercy apartment,42041493453,unconfirmed,Olena,Manhattan,Kips Bay,40.73826,-73.98028,United States,US,FALSE,moderate,Entire home/apt,2020,$736 ,$147 ,2,2,9/27/2018,0.21,4,1,0,
41022099,Your Convenient Sanctuary 1br apt.,92187367297,verified,Tasia,Brooklyn,Kensington,40.64277,-73.97947,United States,US,TRUE,flexible,Entire home/apt,2011,"$1,016 ",$203 ,1,1,09/06/15,0.02,2,2,0,
56327436,FLUSHING 停车方便｡是你入住的最好选择｡,46972850635,unconfirmed,Niki,Queens,Flushing,40.76904,-73.81687,United States,US,FALSE,moderate,Private room,2003,$997 ,$199 ,1,54,5/21/2019,1.72,5,2,113,
1603895,"Cozy private room, williamsburg NYC",71939962014,verified,Javier & Jorge,Brooklyn,Williamsburg,40.7061,-73.94531,United States,US,FALSE,moderate,Private room,2020,$700 ,$140 ,4,132,06/10/19,1.51,3,2,407,
30009237,Peaceful Suite! Close to Many Restaurants!,28363326590,unconfirmed,Lisaret,Bronx,Pelham Bay,40.84905,-73.83089,United States,US,FALSE,moderate,Private room,2020,$350 ,$70 ,30,5,2/21/2022,0.56,2,2,277,
24535391,Perfect studio in Midtown,31538582726,unconfirmed,Tugce,Manhattan,Murray Hill,40.74613,-73.97528,United States,US,TRUE,moderate,Entire home/apt,2007,$614 ,$123 ,3,4,6/15/2019,1.52,,1,270,
37236634,"Spacious Studio in Fort Greene, Brooklyn",82793578993,unconfirmed,Jason,Brooklyn,Fort Greene,40.68768,-73.97085,United States,US,FALSE,moderate,Entire home/apt,2022,$416 ,$83 ,30,30,05/03/21,0.97,3,1,0,
29523765,King-Sized 1br in Clinton Hill brownstone,40351048093,unconfirmed,Noma,Brooklyn,Clinton Hill,40.68202514,-73.96317753,United States,US,TRUE,strict,Entire home/apt,2004,$217 ,$43 ,2,1,2/26/2022,1,4,1,48,
18893095,BEAUTIFUL Queen Bedroom in Peaceful Green Space,51496337626,verified,Jackie,Manhattan,Harlem,40.8063,-73.95548,United States,US,TRUE,strict,Private room,2007,"$1,045 ",$209 ,4,11,07/01/19,0.86,4,1,0,
23157955,1000 Sq Ft HUGE apartment with Empire State views.,21227792202,unconfirmed,Josh,Manhattan,Kips Bay,40.74061,-73.98063,United States,US,TRUE,strict,Entire home/apt,2021,$376 ,$75 ,1,2,03/04/19,0.32,4,1,89,
53479225,Spacious Studio in the Hamilton Heights,70447668259,unconfirmed,Waleed,Manhattan,Harlem,40.81931,-73.956,United States,US,TRUE,moderate,Entire home/apt,2017,$593 ,$119 ,7,0,,,2,1,0,
10501448,An urban nest; 7 minutes from Central Park,98180489318,verified,Christina,Manhattan,Upper East Side,40.7758,-73.95472,United States,US,FALSE,moderate,Entire home/apt,2015,$437 ,$87 ,5,11,11/27/2016,0.3,3,2,0,
7767011,Penthouse Duplex & Roof Top Terrace,30126888309,verified,Michael,Manhattan,Harlem,40.81319,-73.94423,United States,US,FALSE,strict,Entire home/apt,2005,$426 ,$85 ,4,16,4/30/2019,0.37,3,1,381,
43553842,Beautiful 1- bdrm apt in tranquil Inwood building,78600830372,verified,Sarah,Manhattan,Inwood,40.87136,-73.91723,United States,US,FALSE,flexible,Entire home/apt,2021,"$1,091 ",$218 ,2,26,6/17/2018,0.82,4,1,0,
23149118,Luxury Union Square Loft (3000 sq ft),13300197124,unconfirmed,Kyle,Manhattan,Chelsea,40.73732,-73.99033,United States,US,FALSE,moderate,Private room,2007,$391 ,$78 ,1,2,03/11/19,0.32,3,1,0,
7004285,One cozy bedroom in Bay Ridge NY,88976862673,unconfirmed,"Keiko, Harumi & Eric",Brooklyn,Bay Ridge,40.63421,-74.0263,United States,US,FALSE,strict,Private room,2013,$900 ,$180 ,2,36,6/26/2019,0.94,5,1,47,
54885381,*Cozy Room in Manhattan with Private Living Room*,23526077328,verified,Carlos Ivan,Manhattan,East Harlem,40.79917,-73.93716,United States,US,TRUE,strict,Private room,2018,$603 ,$121 ,3,9,11/29/2018,0.88,2,1,3,
53514020,Bedstuyvesant Apartment,6006915298,unconfirmed,Eric,Brooklyn,Bedford-Stuyvesant,40.68423,-73.94125,United States,US,TRUE,strict,Entire home/apt,2008,$895 ,$179 ,3,3,11/05/18,0.22,2,1,0,
24746922,BedStuy Private Room (D5),32369510264,unconfirmed,Linda,Brooklyn,Bedford-Stuyvesant,40.6914,-73.93046,United States,US,FALSE,moderate,Private room,2018,"$1,199 ",$240 ,2,11,6/30/2019,4.23,4,8,254,
36677707,"3 min to Ohel, #2, private toilet & shower",69183754803,unconfirmed,Sagee,Queens,Cambria Heights,40.68708,-73.73614,United States,US,TRUE,moderate,Private room,2009,$287 ,$57 ,1,5,08/08/21,0.39,2,5,90,
11194033,"New! Huge Terrace, Close to Manhattan, Great View!",27504369252,verified,Sam,Brooklyn,Boerum Hill,40.68882,-73.98629,United States,US,FALSE,moderate,Entire home/apt,2013,$380 ,$76 ,2,2,9/27/2016,0.06,5,1,0,
8162458,Beautiful Duplex in Bushwick,63981013324,verified,Isaac,Brooklyn,Bushwick,40.69923,-73.9308,United States,US,TRUE,flexible,Entire home/apt,2022,$779 ,$156 ,7,5,06/05/17,0.12,2,1,420,
23163478,Watson’s Loft,46415657093,unconfirmed,Brandon,Queens,Forest Hills,40.72186,-73.85601,United States,US,FALSE,flexible,Private room,2004,"$1,004 ",$201 ,1,4,6/23/2019,0.65,2,1,134,
22860265,Piece of mind in Harlem,15496790929,verified,Alex,Manhattan,East Harlem,40.81568,-73.93442,United States,US,TRUE,moderate,Entire home/apt,2004,"$1,145 ",$229 ,30,4,5/13/2019,1.13,2,1,345,
40861932,The perfect nightlife spot,11458115415,verified,Kyle,Manhattan,East Village,40.72686,-73.98743,United States,US,TRUE,strict,Private room,2015,$410 ,$82 ,5,10,10/08/17,0.28,1,1,0,
56881945,Quiet comfortable  near Times Sq.,93020056186,unconfirmed,Maya,Manhattan,Hell's Kitchen,40.7586,-73.98974,United States,US,TRUE,moderate,Private room,2015,$676 ,$135 ,2,144,07/01/19,5.11,1,1,73,
22171547,*NO GUEST SERVICE FEE* Beekman Tower Studio Suite  #3,70519875547,verified,Red Awning,Manhattan,Midtown,40.75428,-73.96566,United States,US,TRUE,strict,Entire home/apt,2022,$767 ,$153 ,28,1,12/29/2018,0.16,5,49,225,
5868756,mhttnfullapt lowprce,82290461941,unconfirmed,Emanuel,Manhattan,Washington Heights,40.85322,-73.93563,United States,US,FALSE,moderate,Entire home/apt,2020,$513 ,$103 ,2,25,6/23/2019,0.79,5,1,21,
6623750,"Great, sunny 1 bedroom apartment in prime location",29153762790,verified,Dan And Lily,Manhattan,Lower East Side,40.72077,-73.98551,United States,US,TRUE,strict,Entire home/apt,2007,$262 ,$52 ,4,0,,,1,1,369,
27123469,Private BR in Eco-Friendly East Village Apt,87212949180,verified,Bobby,Manhattan,East Village,40.72352,-73.97493,United States,US,FALSE,moderate,Private room,2014,"$1,061 ",$212 ,1,0,,,4,1,23,
16532012,NYC master room with independent restroom for 2,50555878622,verified,诗月,Manhattan,Roosevelt Island,40.76858,-73.94436,United States,US,TRUE,flexible,Private room,2013,$743 ,$149 ,7,1,06/12/18,0.08,2,1,0,
19176977,Sunny room in great location,54259962019,unconfirmed,Engorako,Queens,Astoria,40.76549,-73.9149,United States,US,TRUE,moderate,Private room,2008,$369 ,$74 ,50,0,,,4,1,21,
7628936,Cozy Room in Bushwick Apartment!,17793713568,unconfirmed,Martina,Brooklyn,Bushwick,40.69902,-73.92195,United States,US,FALSE,moderate,Private room,2015,$453 ,$91 ,,28,8/20/2018,1.36,4,2,237,
35258848,Staycation in the heart of Williamsburg,7556173184,verified,Conor,Brooklyn,Williamsburg,40.71645,-73.96088,United States,US,FALSE,strict,Entire home/apt,2004,$496 ,$99 ,3,17,11/29/2021,0.58,3,1,26,
30055078,Backyard Studio Apartment in Brooklyn,22158502794,unconfirmed,Anna,Brooklyn,East Flatbush,40.64873,-73.93765,United States,US,FALSE,flexible,Entire home/apt,2017,$411 ,$82 ,2,24,2/21/2022,5.76,3,1,180,
8686591,Cozy Room/ 10min LGA #2,31705883982,unconfirmed,Angela,Queens,Jackson Heights,40.75009,-73.87578,United States,US,FALSE,flexible,Private room,2013,$737 ,$147 ,1,78,3/22/2019,1.94,1,4,4,
10967590,1920s Room 1 block from Prospect Park and Q Access,33495098629,unconfirmed,Nick,Brooklyn,Prospect-Lefferts Gardens,40.65663,-73.95989,United States,US,TRUE,moderate,Private room,2010,$410 ,$82 ,1,6,03/01/17,0.19,1,1,0,
24337668,TW #6 Private Suite 2nd Fl.  1 to 4 Guests,68292717943,unconfirmed,Sharon & Erika,Bronx,Schuylerville,40.8356,-73.83369,United States,US,TRUE,strict,Private room,2011,$479 ,$96 ,1,24,6/20/2019,8.37,5,5,247,
21876619,"""The Spot""",41319823621,unconfirmed,Dwain,Brooklyn,East New York,40.66577,-73.887,United States,US,TRUE,strict,Entire home/apt,2010,$673 ,$135 ,2,27,6/23/2019,3.68,3,1,201,
31890923,"Quiet, Clean Bedroom in Prime Harlem Location.",58378101883,verified,Nadia,Manhattan,Harlem,40.80116,-73.95043,United States,US,FALSE,strict,Private room,2003,"$1,017 ",$203 ,3,79,1/31/2022,1.79,5,1,30,
54848929,Neat and quiet space for you.,98355226498,unconfirmed,Gayle,Manhattan,Financial District,40.70522,-74.00728,United States,US,TRUE,flexible,Entire home/apt,2009,$736 ,$147 ,2,1,8/26/2018,0.09,3,1,0,
2946537,Thanksgiving in Manhattan!,72985683883,unconfirmed,Andrea,Manhattan,Upper West Side,40.77822,-73.98016,United States,US,FALSE,flexible,Entire home/apt,2012,$870 ,$174 ,1,0,,,2,1,57,
21454110,"Cozy, newly renovated, 2 bed, Brooklyn apartment",41730304038,unconfirmed,Tom,Brooklyn,Park Slope,40.67811,-73.97974,United States,US,FALSE,strict,Entire home/apt,2017,$247 ,$49 ,3,3,6/22/2019,0.4,3,1,0,
39894302,Sunny Private BR Crown Hts Brooklyn,81293610808,unconfirmed,Candace,Brooklyn,Crown Heights,40.67418,-73.94661,United States,US,FALSE,strict,Private room,2009,$641 ,$128 ,1,4,08/01/17,0.06,3,1,0,
17371508,"Brooklynite Room, 10 mins to Williamsburg/LES/City",50181688104,unconfirmed,Roberto,Brooklyn,Bedford-Stuyvesant,40.69251,-73.9301,United States,US,FALSE,moderate,Private room,2006,"$1,120 ",$224 ,1,5,09/01/18,0.46,5,3,59,
11859554,Bright and Beautiful 1br Apartment in Little Italy,59111156111,verified,Seyhan,Manhattan,Little Italy,40.71819,-73.99786,United States,US,TRUE,strict,Entire home/apt,2006,$637 ,$127 ,6,6,5/27/2019,0.2,4,1,268,
13038715,Cozy Room in TWO BEDROOM Apartment.,19684752512,verified,Kian,Brooklyn,Bedford-Stuyvesant,40.69499,-73.94822,United States,US,FALSE,flexible,Private room,2015,$701 ,$140 ,5,42,06/02/19,1.58,5,3,63,
10362269,"Amazing flat, stunning views!!, perfect location",76102553894,verified,Antoine,Brooklyn,Williamsburg,40.71026,-73.96841,United States,US,TRUE,moderate,Entire home/apt,2014,$342 ,$68 ,1,1,07/08/16,0.03,3,1,157,
4379755,Charming duplex garden flat in SoHo,1411882656,verified,Richard,Manhattan,SoHo,40.72736,-74.00192,United States,US,TRUE,strict,Entire home/apt,2012,"$1,008 ",$202 ,30,159,06/12/19,2.83,3,1,380,
36341356,Cozy Room in Duplex with Private Outdoor Area,26590877805,verified,Kaptan,Manhattan,East Village,40.72583,-73.97619,United States,US,FALSE,moderate,Private room,2012,$56 ,$11 ,7,35,09/06/21,0.74,3,4,338,
17172128,Full Lavish Studio apartment in the heart of NYC,52700420121,unconfirmed,Sajee,Manhattan,Upper East Side,40.76938,-73.96732,United States,US,TRUE,strict,Entire home/apt,2020,$893 ,$179 ,1,2,12/30/2017,0.11,5,1,0,
26988708,Summer sublet in south slope,11943528413,unconfirmed,Sonya,Brooklyn,Sunset Park,40.66154,-73.99158,United States,US,FALSE,moderate,Entire home/apt,2003,$823 ,$165 ,9,0,,,2,1,16,
55033950,"Bay Ridge, Vista Place",77411900712,unconfirmed,Mason,Brooklyn,Bay Ridge,40.63368,-74.01956,United States,US,FALSE,moderate,Entire home/apt,2006,$63 ,$13 ,3,8,6/25/2019,0.83,5,1,125,
52156467,SEXY Grand Central Modern CHIC BRAND NEW PARK AVE,78283376788,verified,Ian,Manhattan,Murray Hill,40.7504,-73.97759,United States,US,FALSE,strict,Entire home/apt,2020,$593 ,$119 ,30,3,5/31/2019,0.28,3,4,311,
26941210,30-min to Manhattan Quiet Big House in Great Neck,33544823656,verified,Vincent,Queens,Little Neck,40.77444,-73.73373,United States,US,TRUE,strict,Entire home/apt,2010,$322 ,$64 ,3,0,,,2,1,3,
30883528,Private Room in Newly Renovated Apartment,56184470380,unconfirmed,Lana,Queens,Kew Gardens,40.707142,-73.828674,United States,US,TRUE,strict,Private room,2019,$208 ,$42 ,7,27,2/14/2022,0.77,3,14,280,
7987931,1 br Apt in Washington Heights,23137951100,unconfirmed,Elena,Manhattan,Washington Heights,40.84504,-73.93658,United States,US,FALSE,strict,Entire home/apt,2010,$924 ,$185 ,90,1,01/08/17,0.03,1,1,3,
9829852,Cozy Room in West Harlem NYC,44506599172,verified,Oge,Manhattan,Harlem,40.82143,-73.95651,United States,US,TRUE,moderate,Private room,2007,"$1,177 ",$235 ,7,1,8/14/2016,0.03,3,1,283,
19122299,"Private bedroom in Chinatown, NYC, #1",27726596577,unconfirmed,Amiee,Manhattan,Chinatown,40.71457,-73.9958,United States,US,FALSE,flexible,Private room,2022,$857 ,$171 ,1,71,06/11/19,5.5,5,3,91,
53963040,Loft Suite at Franklin Guesthouse,71884430093,verified,Franklin,Brooklyn,Greenpoint,40.73198,-73.95862,United States,US,TRUE,moderate,Entire home/apt,2013,$578 ,$116 ,1,0,,,5,4,227,
44814190,Trendy Apt in Historic Brooklyn Heights,18800253133,unconfirmed,John,Brooklyn,Brooklyn Heights,40.69564,-73.99691,United States,US,FALSE,flexible,Entire home/apt,2007,$489 ,$98 ,3,26,5/27/2019,0.95,5,1,0,
46913483,Sun-Filled Cobble Hill Loft,72988057644,unconfirmed,Lily,Brooklyn,Brooklyn Heights,40.6904,-73.99376,United States,US,TRUE,flexible,Entire home/apt,2010,$771 ,$154 ,3,21,05/05/19,0.95,2,1,15,
